mag_r,u-g,g-r,r-i,i-z,z_spec
18.914286,2.072901,1.386738,0.482288,0.27248,0.309728
19.39496,1.544794,1.557312,0.541681,0.41847,0.336479
19.886253,1.028398,1.764324,0.672249,0.374681,0.4065
17.561859,2.166397,1.304127,0.428728,0.303825,0.192485
18.495819,1.359457,1.720991,0.521324,0.360054,0.319904
17.668627,2.035206,1.462042,0.440821,0.278397,0.234006
20.510069,1.561085,1.755964,0.6593,0.357954,0.51726
18.853308,1.51416,1.52696,0.506498,0.402142,0.498964
19.022602,1.693741,1.361458,0.435516,0.291372,0.236794
18.936052,1.14043,1.314287,0.44796,0.281824,0.232616
17.437073,2.022253,1.233334,0.443602,0.310368,0.187029
17.967968,1.720375,1.203438,0.430687,0.294336,0.184896
20.068785,1.513067,1.630054,0.533094,0.373892,0.398246
18.316296,1.861988,1.708742,0.509567,0.363363,0.315149
20.130116,1.676825,1.465208,0.777058,0.418051,0.501227
18.210028,1.821407,1.278555,0.481367,0.301388,0.1784
18.046947,1.990538,1.260916,0.46566,0.254425,0.183519
18.651152,1.537081,1.595961,0.601559,0.341618,0.376459
18.951124,2.041439,1.299334,0.510168,0.44755,0.299332
19.096582,1.497341,1.221939,0.449368,0.381495,0.267483
19.144892,1.895369,1.528442,0.5056,0.378859,0.309749
18.485472,1.893652,1.209024,0.52236,0.370422,0.205261
19.286417,1.193798,1.269245,0.581329,0.331196,0.198828
18.57176,1.275022,1.30419,0.59099,0.478334,0.213328
19.318975,1.096527,1.236786,0.42988,0.357752,0.337116
16.218399,1.993893,1.300596,0.702185,0.39534,0.915344
19.684021,1.312937,1.527477,0.599237,0.392319,0.327048
18.800714,1.959043,1.827228,0.579599,0.346405,0.357334
17.926695,1.738438,1.608873,0.527756,0.33806,0.310842
19.103151,1.881796,1.613619,0.644743,0.385094,0.351575
17.315645,2.106417,1.297653,0.568502,0.365965,0.170706
17.92803,2.121271,1.383648,0.489664,0.275059,0.219957
18.56637,1.401081,1.441084,0.622358,0.390841,0.309715
20.065437,1.269346,1.232184,0.706156,0.386778,0.249027
17.348202,2.116756,1.363316,0.563133,0.390774,0.194383
19.550329,1.733543,1.725842,0.701031,0.355623,0.412076
18.893038,1.78331,1.684086,0.602505,0.442766,0.358062
19.081156,2.14576,1.619406,0.638205,0.434774,0.382707
17.656109,2.045399,1.344103,0.485428,0.33679,0.214442
17.273853,1.810061,1.285973,0.480215,0.316067,0.207579
18.674776,1.7537,1.798622,0.712852,0.406967,0.403111
18.373106,1.875732,1.706501,0.593433,0.352383,0.336294
18.243187,2.006464,1.625856,0.545013,0.37112,0.302302
20.092649,2.046322,1.564259,0.749483,0.478916,0.37771
20.011391,1.474565,1.258989,0.628565,0.302713,0.20895
19.908047,1.782909,1.757193,0.787746,0.288862,0.44738
19.016489,1.030228,1.789106,0.638489,0.295753,0.379801
18.294296,1.956846,1.550411,0.53594,0.331402,0.292637
17.404503,1.934347,1.384279,0.563192,0.388626,0.196412
17.980082,2.149328,1.632681,0.532572,0.285471,0.377634
18.564476,1.560953,1.794573,0.57118,0.345852,0.38304
18.51453,1.904844,1.680241,0.610479,0.31221,0.345239
18.928446,1.277027,1.710344,0.668486,0.415434,0.398353
18.911627,1.169401,1.683132,0.613464,0.332634,0.398565
18.91642,1.454065,1.751516,0.695705,0.284081,0.439951
18.971739,1.421061,1.662592,0.74472,0.350607,0.438882
18.635546,1.756672,1.5709,0.581976,0.335852,0.367847
18.413696,1.996063,1.617798,0.56756,0.393484,0.341892
19.028662,1.611338,1.747965,0.522322,0.449844,0.375767
17.299212,1.731045,1.371511,0.523537,0.286375,0.178291
17.763718,1.862705,1.446669,0.536018,0.330643,0.262207
18.448503,2.149969,1.666943,0.613728,0.343431,0.323527
19.124264,1.98283,1.721623,0.687181,0.411791,0.417413
17.83065,2.115179,1.622412,0.58436,0.372154,0.32725
17.581135,2.074955,1.381859,0.503971,0.337662,0.227128
19.706219,1.099573,1.66921,0.77607,0.479322,0.455662
17.434023,1.910646,1.285353,0.491737,0.335268,0.202451
18.67766,1.87586,1.646601,0.700403,0.309778,0.353097
18.139452,2.015133,1.60014,0.530827,0.331629,0.309629
17.613388,1.627743,1.207993,0.481783,0.312824,0.189276
18.282001,2.183941,1.458632,0.529875,0.295414,0.262003
18.500877,1.390944,1.514923,0.588861,0.345593,0.289581
17.754824,2.192591,1.261307,0.567337,0.383522,0.179979
20.262182,1.093279,1.625158,0.256956,0.319769,0.424976
18.690966,1.939774,1.684666,0.628815,0.352676,0.363137
17.647478,2.091234,1.555611,0.551689,0.352562,0.284329
19.213362,1.239174,1.685753,0.695347,0.410431,0.335235
20.058142,1.613827,1.922375,0.793398,0.380136,0.452114
19.283607,1.549282,1.635933,0.745834,0.386118,0.425203
18.874399,1.814779,1.61805,0.616453,0.415957,0.320479
