mag_r,u-g,g-r,r-i,i-z,z_spec
19.469849,1.528381,1.486521,0.5396,0.272343,0.293778
17.302969,2.128372,1.311499,0.482414,0.283367,0.201277
19.764093,2.18445,1.694365,0.621489,0.233627,0.393756
18.485493,1.70739,1.39476,0.463596,0.263309,0.248585
17.514053,1.668873,1.414905,0.486395,0.327213,0.246883
18.730402,2.107012,1.831778,0.58811,0.364115,0.362537
18.993385,2.14681,1.274404,0.490112,0.288574,0.234699
18.657017,1.707075,1.466906,0.556162,0.331579,0.296069
17.720734,1.528046,1.286442,0.44809,0.271439,0.229669
18.813263,1.207769,1.635958,0.598997,0.350807,0.309049
19.206402,1.4119,1.747158,0.699505,0.394297,0.451139
19.400154,1.60313,1.313326,0.486162,0.306532,0.215757
18.746431,1.536112,1.37212,0.454878,0.310266,0.230548
17.833366,1.53175,1.387726,0.516783,0.279203,0.228585
18.415817,2.092337,1.435915,0.519587,0.315159,0.220082
19.571571,1.522722,1.320167,0.392056,0.31422,0.2273
16.073578,1.955875,1.229443,0.468205,0.311528,0.184636
19.00676,1.677048,1.204264,0.469069,0.257002,0.186364
17.928082,1.885939,1.323473,0.418514,0.285521,0.242984
16.881651,1.63678,1.309114,0.459108,0.295155,0.198902
18.2505,2.114056,1.410376,0.701824,0.363581,3.6e-05
18.073696,2.128458,1.510128,0.582006,0.372892,0.284089
18.884014,1.974117,1.695793,0.612583,0.348614,0.360471
18.874901,1.356029,1.857983,0.617731,0.326038,0.358675
19.052767,1.452743,1.641344,0.633629,0.274384,0.359535
16.970644,1.819565,1.214314,0.474466,0.290699,0.189097
20.492842,2.074244,1.397905,0.762712,0.488192,0.298276
18.905807,1.858137,1.782507,0.654314,0.398596,0.398246
18.610498,1.712387,1.715448,0.611103,0.317802,0.340867
18.467611,2.107304,1.847805,0.617975,0.432928,0.356706
18.479507,1.924645,1.868994,0.645664,0.449512,0.397715
18.09137,1.70112,1.329884,0.489557,0.298859,0.226368
18.77067,2.080093,1.663134,0.627367,0.389191,0.344604
17.872143,1.722424,1.607998,0.578463,0.349524,0.302346
17.548496,1.84226,1.200188,0.442476,0.396482,0.178779
18.965389,1.753758,1.795603,0.607948,0.355558,0.423663
17.472075,1.96003,1.379269,0.518686,0.33569,0.226844
18.443449,1.278563,1.722138,0.592701,0.390059,0.343871
18.659948,2.046555,1.529917,0.599899,0.361305,0.303606
18.049885,1.916956,1.63958,0.573744,0.36376,0.299015
18.325478,1.690298,1.629675,0.578093,0.326536,0.3118
17.465361,1.918287,1.213606,0.485659,0.282848,0.215141
16.849949,1.977322,1.390553,0.506536,0.360979,0.226019
18.239407,2.032665,1.711689,0.556326,0.322426,0.365322
17.89801,1.962713,1.657511,0.583515,0.337675,0.395745
19.3813,2.117167,1.801779,0.658367,0.250322,0.44499
18.786135,1.080488,1.6931,0.576546,0.378248,0.405012
20.823847,1.716742,1.414379,0.782993,0.232052,0.482564
18.479757,1.174734,1.550495,0.554047,0.393427,0.323065
17.314573,2.0965,1.294672,0.504761,0.291174,0.209715
17.212963,1.889149,1.301735,0.483849,0.353483,0.186895
18.837666,1.914425,1.710401,0.676701,0.39896,0.415867
19.115404,1.546221,1.764214,0.639437,0.433031,0.335199
18.552666,1.812819,1.683741,0.558455,0.335516,0.330883
18.176479,1.886581,1.340464,0.611338,0.416323,0.208328
18.236401,1.892025,1.42596,0.543663,0.34375,0.232552
19.304514,1.156399,1.656542,0.667473,0.372725,0.396926
20.18652,2.028833,1.32077,0.760605,0.355656,0.483524
17.712385,2.187668,1.357649,0.511007,0.349211,0.214644
17.960726,1.937611,1.544577,0.514833,0.317356,0.336913
18.979443,1.688591,1.795111,0.590864,0.296408,0.353164
